"X","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6"
17704,17704,NA,"female","graduate","married",37,5625,367,1726,396,-66,-66,NA,1734,398,NA,0,150000,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","no_util"
17705,17705,280000,"female","university","married",41,9551,12848,15345,19211,22817,37323,NA,5000,5000,NA,16000,NA,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17706,17706,240000,"female","graduate","married",34,2799,NA,NA,1048,2695,0,855,3,1054,2695,0,0,0,"pay_duly",NA,"2_month_delay","pay_duly","pay_duly","pay_duly"
NA,17707,120000,"female","graduate","single",34,17067,0,0,7304,7154,9055,0,0,7304,0,5000,1857,0,"pay_duly",NA,"no_util","pay_duly","2_month_delay","use_revolv_credit"
NA,17708,90000,"female",NA,"single",33,92725,94908,89711,91165,72263,72569,8500,0,4086,2600,3000,3000,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17709,17709,100000,"female","graduate","married",34,101620,101747,100750,98953,99114,101501,4000,3838,3563,3563,4000,3475,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
17710,17710,410000,"female","graduate","married",34,0,0,0,0,0,0,0,0,NA,0,0,3996,0,"1_month_delay",NA,"no_util",NA,"no_util","no_util"
17711,17711,190000,"female","graduate","married",43,191869,NA,174848,124776,92684,100151,7305,6099,4793,3684,12251,NA,0,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
17712,NA,220000,"female","graduate","married",36,184765,190691,206000,194930,130938,134664,9000,20000,0,5000,6000,8000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit",NA
NA,17713,90000,NA,"university","single",44,15089,NA,18451,17857,20256,20785,2500,2000,0,2700,1000,0,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17714,17714,120000,"female","graduate","single",30,170263,157881,NA,160168,156165,158850,5520,5700,5815,5500,5522,6000,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17715,17715,10000,"female","highschool","single",50,600,600,NA,600,600,2050,0,0,0,0,1450,0,NA,NA,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17716,17716,500000,"female","graduate","married",50,378981,372392,353719,348365,306196,303114,20002,16023,13009,10008,10000,20004,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17717,17717,NA,"female","university","married",51,4777,60332,60702,58677,51549,46552,62462,2299,1919,1838,2200,90000,0,"pay_duly","pay_duly","use_revolv_credit",NA,NA,NA
17718,17718,120000,"female","university","married",50,38261,NA,33018,19172,14938,21290,23000,0,NA,10000,10000,NA,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17719,17719,220000,"female","graduate",NA,51,2262,2255,8105,2224,150,1000,2276,8117,0,150,1000,2619,1,NA,"pay_duly","pay_duly","2_month_delay","2_month_delay","no_util"
17720,17720,240000,"female","university","married",50,978,193,386,579,386,193,193,386,386,0,0,536,0,NA,"pay_duly","pay_duly","2_month_delay","use_revolv_credit","use_revolv_credit"
NA,17721,150000,"female","graduate","single",36,0,990,0,234,0,0,990,0,234,0,0,NA,0,"1_month_delay","pay_duly",NA,"pay_duly","pay_duly","no_util"
17722,17722,500000,"female","graduate","married",NA,21794,12574,12608,-134,22466,NA,12610,12694,NA,22600,16837,0,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
17723,17723,150000,"female","graduate","married",50,6350,0,0,0,0,0,0,0,0,0,0,0,0,"pay_duly","pay_duly","no_util","no_util","no_util","no_util"
17724,17724,60000,"female","university","married",49,58928,59446,56761,41130,NA,27331,2500,2300,1547,1396,NA,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17725,NA,30000,"female","highschool",NA,50,29468,29688,28919,28000,13393,10539,1000,159,28426,24682,12,0,1,"2_month_delay","2_month_delay",NA,"2_month_delay","pay_duly","use_revolv_credit"
17726,17726,320000,"female","university",NA,53,319711,NA,34608,NA,44486,NA,3000,3000,NA,8000,10000,1900,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17727,17727,470000,"female",NA,"married",61,228,5215,3161,762,3637,16847,5241,3176,766,3673,16906,1437,0,NA,"no_util",NA,"no_util","no_util","no_util"
17728,17728,NA,"female","graduate","single",51,26106,8999,0,0,10961,11349,8999,0,0,10961,503,NA,0,"use_revolv_credit","pay_duly","pay_duly","no_util","pay_duly","use_revolv_credit"
17729,NA,50000,"female","university","married",51,44664,48028,46985,50484,50404,50241,NA,0,4600,1000,2000,0,0,NA,NA,"2_month_delay","2_month_delay",NA,"2_month_delay"
17730,17730,220000,"female","university","married",51,36022,12838,8605,5352,-5048,-5048,NA,3040,1000,NA,0,0,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17731,17731,360000,"female","graduate",NA,NA,0,0,0,2580,2580,6941,0,0,2580,0,6941,NA,0,"1_month_delay","no_util","no_util","pay_duly","use_revolv_credit","pay_duly"
17732,17732,NA,"female","highschool","married",58,5563,0,0,0,0,0,0,0,0,NA,0,5156,0,"no_util","no_util","no_util","no_util","no_util","no_util"
17733,17733,NA,"female",NA,"single",NA,46554,50774,49551,22673,17147,NA,5000,0,2300,1000,635,NA,1,"2_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17734,17734,50000,"female","university","married",56,50586,46993,33136,34475,19666,19128,2000,2000,2000,1000,1259,NA,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17735,17735,290000,"female","highschool","married",58,68445,66757,76983,74891,78100,83325,0,12000,0,5000,6000,0,0,"1_month_delay","2_month_delay",NA,"2_month_delay",NA,"use_revolv_credit"
17736,17736,350000,"female","university",NA,50,NA,NA,205636,203844,204114,207448,10532,9219,8797,8004,10012,10006,NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17737,17737,110000,"female","highschool","married",52,23969,11137,16401,18670,19670,1187,0,6000,7000,1200,NA,3000,0,"1_month_delay","2_month_delay","use_revolv_credit",NA,"use_revolv_credit","2_month_delay"
17738,17738,40000,"female","university","married",53,4621,6527,7776,7502,7651,7811,NA,1500,0,274,283,436,1,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
17739,17739,NA,"female","highschool","married",NA,-639,NA,NA,0,0,0,0,900,1800,NA,0,0,NA,"1_month_delay","no_util","no_util","no_util","no_util",NA
17740,NA,110000,"female","graduate","married",55,632,316,0,632,316,632,0,NA,948,0,NA,0,0,"pay_duly",NA,"2_month_delay","pay_duly",NA,NA
17741,17741,NA,"female","highschool","married",70,1960,732,735,-10,NA,-10,800,3,0,0,0,0,0,"pay_duly",NA,"2_month_delay","2_month_delay","no_util",NA
17742,NA,200000,"female","highschool","single",63,632,632,316,316,316,316,0,0,316,316,316,316,1,"pay_duly",NA,"2_month_delay","pay_duly","pay_duly","pay_duly"
17743,NA,140000,"female","university","single",53,8068,NA,13271,11243,12091,12691,1535,5004,1451,1000,1000,3194,NA,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
17744,NA,80000,"female","university","single",61,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"no_util","no_util","no_util","no_util","no_util"
17745,17745,260000,"female",NA,"married",56,2338,0,0,0,58,1058,0,0,NA,NA,NA,1000,0,"use_revolv_credit","use_revolv_credit","no_util","no_util","pay_duly","use_revolv_credit"
17746,17746,340000,"female","graduate","married",56,5610,5399,12347,8612,5479,0,5399,12353,8619,0,0,0,1,"pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit","use_revolv_credit"
17747,NA,30000,"female","university","married",58,11223,10746,NA,13531,13017,14008,0,2993,500,NA,1200,0,1,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17748,17748,30000,NA,"highschool",NA,54,22147,24770,26068,28842,NA,27361,3000,2000,NA,0,0,NA,0,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","4_month_delay","3_month_delay"
17749,17749,440000,"female","highschool","married",50,250825,167091,144804,67729,66077,60074,10043,8608,25031,NA,22053,20030,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17750,17750,10000,"female","highschool","married",52,2465,3475,4366,4148,4579,NA,1200,1100,0,500,NA,NA,0,"pay_duly","2_month_delay","2_month_delay",NA,"2_month_delay","2_month_delay"
17751,17751,230000,"female","university","married",55,7302,4561,5975,11072,10021,14431,2001,2001,6018,5007,NA,7053,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
17752,17752,50000,"female",NA,"married",61,2020,NA,0,0,0,0,0,0,0,NA,0,202,0,"pay_duly","pay_duly","no_util","no_util","no_util","no_util"
17753,17753,150000,"female","university","divorce",54,NA,135287,140600,142836,NA,148731,4772,6427,4951,4062,4188,4824,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17754,17754,330000,"female","highschool","married",55,21333,25915,25036,21804,19228,18799,5000,5200,NA,4300,5000,4000,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
17755,17755,370000,"female",NA,"single",50,48303,129317,1364,0,0,0,124174,2000,0,0,0,2463,0,"pay_duly","use_revolv_credit","pay_duly","pay_duly","no_util","no_util"
17756,17756,130000,"female",NA,"single",53,101156,100184,99001,88214,90167,90682,3615,4700,NA,3403,3300,3500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
17757,17757,10000,"female","highschool","married",51,2400,2400,2400,2400,2400,2400,NA,0,0,0,0,0,1,NA,"2_month_delay","2_month_delay","7_month_delay","7_month_delay","7_month_delay"
17758,17758,360000,"female","university","married",54,277688,271867,272796,279597,253333,253737,10450,10414,11330,9081,9500,9000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17759,17759,20000,"female","highschool",NA,61,0,0,0,0,0,0,NA,0,0,0,0,0,1,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
17760,NA,180000,NA,"highschool","single",52,173065,171015,162516,NA,NA,135815,5902,7693,5464,4893,5095,4862,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
17761,17761,80000,"female","highschool","married",62,36088,37257,36288,37630,26424,27342,NA,2100,2400,1100,1500,1500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
17762,17762,50000,"female","university","married",55,41696,41768,42561,42871,7606,11267,1674,2079,2001,500,4423,4000,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17763,17763,150000,"female","graduate","single",NA,157231,NA,148994,80196,74328,66806,NA,6103,NA,3028,5052,15000,NA,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17764,17764,30000,"female","highschool","married",56,25158,24466,24087,25890,25175,26870,0,300,2500,0,2100,0,0,"1_month_delay","3_month_delay","2_month_delay",NA,"2_month_delay","2_month_delay"
17765,17765,50000,"female","highschool","married",52,NA,6405,6828,6229,390,390,NA,NA,1004,10,NA,390,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17766,17766,20000,"female","university","divorce",56,NA,19194,18405,0,380,-400,3000,1000,400,380,0,1720,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly",NA
17767,17767,130000,"female","highschool","single",55,116336,NA,128243,115204,101158,95895,10063,20000,10009,10000,5000,5000,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17768,17768,320000,"female","highschool","single",53,188373,281060,261698,265703,NA,NA,NA,11020,11000,9486,20000,10000,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17769,17769,300000,"female","highschool","married",62,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,"no_util","no_util","no_util","no_util","no_util","no_util"
17770,17770,330000,"female","graduate","married",53,NA,292517,211831,153841,156866,155679,14000,7507,6000,6171,6000,6000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17771,NA,NA,"female","university","single",53,51320,NA,NA,34120,NA,32377,1952,NA,1495,1144,1165,946,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17772,17772,70000,"female","highschool","single",60,10083,11091,12117,13125,13407,13692,1184,1210,1218,500,500,543,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17773,17773,70000,"female","highschool","divorce",58,70012,67714,68412,69016,69701,70898,2418,2500,2456,2500,3000,2533,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17774,17774,100000,"female","highschool","married",NA,96821,98389,97831,93937,78063,79707,3589,3656,3677,2763,2787,2881,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
NA,17775,110000,"female","university","married",54,NA,94938,NA,92097,96509,93773,3400,0,3290,7000,0,3500,1,"2_month_delay",NA,"2_month_delay",NA,"use_revolv_credit","2_month_delay"
17776,17776,100000,"female","university","married",58,86654,87851,85594,87095,88357,77155,3500,0,3300,2839,3000,4000,1,"2_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17777,17777,160000,NA,"highschool","married",53,0,0,3613,NA,0,0,NA,3613,0,0,0,0,0,"1_month_delay","no_util","pay_duly","2_month_delay","2_month_delay","no_util"
17778,17778,70000,"female","highschool",NA,55,4664,5680,6703,7853,7316,NA,1100,1123,1273,NA,NA,300,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
17779,17779,60000,"female","university","married",NA,NA,56998,59111,59595,58079,56892,4000,3601,2000,0,0,0,0,"4_month_delay","4_month_delay","4_month_delay","5_month_delay","4_month_delay","3_month_delay"
17780,17780,80000,"female","university",NA,NA,74156,73878,64656,NA,42610,42769,3000,NA,3008,3000,2000,3000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
17781,17781,100000,"female","highschool","married",60,2178,4944,4709,2234,2267,2168,NA,0,NA,2300,2168,2300,0,"pay_duly","pay_duly","3_month_delay","2_month_delay","pay_duly",NA
17782,17782,NA,"female","graduate","married",NA,0,0,0,0,0,0,0,NA,0,0,0,142,1,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
17783,17783,60000,"female","highschool","divorce",64,15463,14046,218,12716,10686,10400,1410,218,12723,483,600,9132,0,"use_revolv_credit","use_revolv_credit",NA,"pay_duly","use_revolv_credit","use_revolv_credit"
17784,17784,160000,"female","university","married",58,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,NA,1443,NA,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
NA,17785,30000,"female","university","married",55,13532,14647,15525,0,0,0,1647,1525,0,NA,0,0,1,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","no_util","no_util"
17786,17786,310000,"female","graduate","married",62,327289,323125,308878,314524,NA,283200,12500,2100,22053,10654,0,NA,0,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17787,17787,60000,"male","university","married",46,57487,59228,60040,58722,19790,19250,2706,3004,1475,690,1000,1200,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17788,NA,50000,"male","university","married",64,NA,27682,28403,27648,NA,30008,0,1459,0,1013,2264,0,0,NA,"3_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
17789,17789,140000,"male","highschool","married",58,98985,98702,96753,94310,NA,88818,4520,4034,5050,6034,3202,5000,NA,"2_month_delay","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
17790,17790,20000,NA,"university","single",27,780,390,390,0,780,0,0,390,0,780,0,0,0,NA,"2_month_delay","pay_duly","pay_duly","pay_duly","pay_duly"
17791,17791,10000,"male","university","single",38,-58,NA,-58,7242,8123,8993,0,0,7300,1000,1000,330,0,"1_month_delay","no_util",NA,"pay_duly","use_revolv_credit","use_revolv_credit"
17792,17792,80000,"male","university","single",29,10278,5991,4457,75743,76343,76567,1085,1000,75743,2667,3395,NA,0,NA,"use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit"
17793,17793,50000,"male","highschool","single",24,40751,30786,30285,14225,12668,10880,1627,3053,2005,550,400,1000,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,NA,"use_revolv_credit"
17794,17794,160000,"female","university","married",51,65312,67610,69908,78087,75255,NA,4000,4000,10000,0,5000,3000,1,"2_month_delay",NA,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit"
NA,17795,500000,"female","graduate","single",51,0,0,0,0,0,0,0,0,NA,NA,0,0,0,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
17796,17796,470000,"female","university","married",NA,358581,351295,358671,367492,374249,381132,NA,13033,14800,14359,NA,14425,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17797,17797,NA,"female","graduate","married",54,1494,NA,11755,5808,3974,0,NA,11800,5818,4015,0,0,0,"pay_duly","pay_duly","pay_duly","pay_duly",NA,"pay_duly"
17798,17798,50000,"male","highschool","single",NA,NA,4249,4038,5275,0,0,2500,0,1500,NA,0,0,1,NA,NA,"2_month_delay","use_revolv_credit","use_revolv_credit","no_util"
17799,17799,30000,"male","graduate","single",NA,29015,27080,25933,26319,28754,17491,1400,1800,1100,NA,500,1000,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17800,17800,50000,"male","graduate","single",23,18666,NA,NA,8402,6646,7534,2000,2000,1500,500,NA,2000,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit",NA
17801,NA,80000,"male","graduate",NA,24,77225,75429,NA,56023,NA,NA,3649,2502,2205,1702,1800,1908,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
17802,17802,30000,"male","university",NA,23,27172,28224,29276,28635,30127,30525,1800,1800,NA,NA,1000,0,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17803,17803,80000,"male","other","single",24,52991,50195,44410,22649,20650,NA,2121,2358,3123,NA,0,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
17804,17804,150000,"male","graduate","single",28,5797,434,11021,6253,6257,4152,436,11086,6284,6288,4172,3207,NA,NA,"no_util","no_util","no_util","no_util","no_util"
17805,17805,170000,"male","university","single",27,169106,141998,NA,133450,127020,123490,5000,5508,NA,NA,4000,4000,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17806,17806,220000,"male",NA,"single",30,15872,19053,NA,19867,12826,19847,20066,20063,20057,12863,20061,13191,0,"no_util","no_util","no_util","no_util","no_util","no_util"
17807,17807,30000,"male",NA,"single",35,18915,20290,24727,24031,25579,25030,2000,5100,0,1949,0,912,1,"2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
17808,17808,100000,"male","university","single",23,291,291,NA,291,291,291,291,291,291,291,NA,291,NA,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
17809,17809,10000,"male",NA,"single",24,NA,1050,1050,1050,1050,1050,0,0,0,0,0,0,1,"3_month_delay","2_month_delay","2_month_delay","3_month_delay","3_month_delay","3_month_delay"
17810,17810,140000,NA,"university",NA,24,6312,-148,8431,11034,5040,7838,0,NA,11034,5040,7838,11737,1,NA,"pay_duly","pay_duly",NA,NA,"pay_duly"
17811,17811,50000,"male",NA,"single",24,25932,24924,22599,24613,23922,25481,1800,NA,NA,0,2100,0,0,"1_month_delay",NA,"2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17812,NA,20000,"male","university","single",22,8785,8134,9992,10526,11049,11865,1142,2000,1000,1000,1000,1000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit"
17813,17813,10000,"male","university","single",22,6829,6571,8950,8658,9413,9117,0,2500,NA,900,0,971,1,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
17814,17814,50000,"male","university","single",24,49989,48512,43701,40429,9727,9606,1800,2000,1118,1000,500,1000,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17815,17815,10000,"male","highschool","single",22,0,7492,8589,9365,7740,1000,7492,NA,NA,175,0,0,0,"1_month_delay","pay_duly","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
17816,17816,30000,"male","university","single",23,30620,NA,30263,29418,30275,0,2000,2500,1200,1000,0,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17817,17817,50000,NA,"university","single",NA,49283,48570,49362,47907,18145,17495,1781,3264,1400,3000,350,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17818,17818,100000,"male","university","single",24,87478,88627,92187,95030,29470,3470,3500,5000,NA,4000,3000,5000,1,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,17819,20000,"male","highschool","single",24,18661,17895,19598,19701,3486,199,1400,2000,1000,400,199,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit",NA
NA,17820,20000,"male","university","single",25,17584,20000,0,0,0,0,3000,0,0,0,NA,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","no_util","no_util","no_util"
17821,17821,NA,NA,"university","single",25,49199,48285,390,390,390,NA,1000,390,390,390,390,390,0,"use_revolv_credit","use_revolv_credit","pay_duly","pay_duly","pay_duly","pay_duly"
17822,17822,50000,"male","university","single",25,15491,15934,17168,18376,19068,19760,1000,1500,1500,1000,1000,2500,1,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17823,17823,100000,"male","graduate","single",24,33921,34920,36030,37173,35875,36263,1563,1673,NA,1213,1248,1212,0,"pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17824,17824,30000,"male","highschool","single",25,NA,24228,25331,26347,27508,30118,1500,1500,1439,1600,3200,0,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
17825,17825,50000,"male","university","married",25,42238,43259,35307,23096,18970,NA,1807,1405,1366,1000,1000,1000,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17826,17826,NA,"male","university","single",25,-1587,-5174,NA,NA,-2587,-2587,0,0,0,0,0,0,1,"no_util","no_util","no_util","no_util","no_util","no_util"
17827,17827,50000,"male","graduate","single",25,60200,61600,71000,73000,78000,80000,2000,10000,2000,5000,2000,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
17828,17828,50000,"male","other","single",23,42407,13244,48845,43129,28385,23876,NA,47166,12064,12176,NA,6200,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17829,17829,50000,NA,"graduate","single",25,48848,48208,48265,43451,19790,17790,1845,1967,1400,396,0,0,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17830,17830,50000,NA,"university","single",25,50547,49480,50643,NA,18092,28728,1900,NA,2000,2000,11041,NA,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17831,17831,NA,"male","university","single",26,64900,43514,10626,312,NA,NA,2600,1626,312,1007,284069,11340,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly",NA
17832,17832,50000,"male",NA,"single",24,5524,6474,NA,7088,7109,NA,1500,2700,0,500,500,500,1,"2_month_delay","use_revolv_credit",NA,"2_month_delay","use_revolv_credit","use_revolv_credit"
17833,17833,30000,"male","university","single",24,31529,30752,29991,29192,28210,NA,NA,0,0,1100,1300,2000,0,"2_month_delay","4_month_delay","3_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
17834,17834,150000,"male","university","married",25,890,-180,101,NA,0,0,0,281,600,0,0,0,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","no_util"
17835,17835,180000,"male","university",NA,25,12891,14275,15737,16603,17395,17182,NA,2000,1500,1003,1003,1006,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17836,17836,80000,"male",NA,"single",26,79558,81906,76228,76841,9534,7371,3694,3470,3305,NA,300,500,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,NA
NA,NA,110000,"male","university","single",NA,98428,NA,104878,105325,102220,107970,5500,6600,3700,0,7500,0,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay",NA
17838,NA,30000,"male","highschool","single",25,23075,23996,25407,27312,8810,6355,NA,2500,3000,178,1000,0,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
17839,17839,NA,"male","university","single",25,23459,27157,26549,34222,44062,45036,4000,0,9000,10700,1700,0,1,"use_revolv_credit","use_revolv_credit","2_month_delay",NA,"use_revolv_credit","2_month_delay"
17840,17840,280000,"male","university","single",26,51951,25360,6183,261,-91,-91,25486,NA,NA,0,0,18342,0,"use_revolv_credit","pay_duly","pay_duly","pay_duly","pay_duly","no_util"
17841,17841,10000,"male","university","single",23,5583,8959,4408,9071,9038,5005,5000,7000,5000,5000,1000,10000,1,"use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17842,17842,10000,"male","university","single",23,1473,1863,0,390,390,780,1863,0,NA,390,780,0,0,"pay_duly",NA,NA,"pay_duly","pay_duly","pay_duly"
17843,17843,20000,"male","university","single",24,16239,16276,16715,18327,17735,19446,600,1000,2200,0,2000,0,0,"2_month_delay","2_month_delay","2_month_delay","2_month_delay",NA,"2_month_delay"
